nome,nivel,inicio,fim,instituicao,pagamento
Italo Fernando Scota Cunha, PQ-2, 01/03/2019, 28/02/2022, UFMG, Em folha de pagamento
Jacob Scharcanski, PQ-1C, 01/03/2018, 28/02/2022, UFRGS, Em folha de pagamento
Jaelson Freire Brelaz de Castro, PQ-2, 01/03/2020, 28/02/2023, UFPE, Em folha de pagamento
Jano Moreira de Souza, PQ-2, 01/03/2018, 28/02/2021, UFRJ, Em folha de pagamento
Jarbas Joaci de Mesquita Sa Junior, PQ-2, 01/03/2018, 28/02/2021, UFC, Em folha de pagamento
Jayme Luiz Szwarcfiter, PQ-1A, 01/03/2017, 28/02/2022, UFRJ, Em folha de pagamento
Jefersson Alex dos Santos, PQ-2, 01/03/2019, 28/02/2022, UFMG, Em folha de pagamento
Joao Batista Florindo, PQ-2, 01/03/2020, 28/02/2023, UNICAMP, Em folha de pagamento
Joao Dallyson Sousa de Almeida, PQ-2, 01/03/2019, 28/02/2022, UFMA, Em folha de pagamento
Joao Eduardo Ferreira, PQ-2, 01/03/2019, 28/02/2022, USP, Em folha de pagamento
Joao Guilherme Maia de Menezes, PQ-2, 01/03/2019, 28/02/2022, UFMG, Em folha de pagamento
Joao Luiz Dihl Comba, PQ-1C, 01/03/2020, 29/02/2024, UFRGS, Em folha de pagamento
Joao Paulo Andrade Almeida, PQ-2, 01/03/2018, 28/02/2021, UFES, Em folha de pagamento
Joao Paulo Papa, PQ-1D, 01/03/2018, 28/02/2022, UNESP, Em folha de pagamento
Joao Paulo Pordeus Gomes, PQ-2, 01/03/2020, 28/02/2023, UFC, Em folha de pagamento
Joaquim Bento Cavalcante Neto, PQ-2, 01/03/2020, 28/02/2023, UFC, Em folha de pagamento
Jorge Luis Poco-Medina, PQ-2, 01/03/2019, 28/02/2022, FGV, Em folha de pagamento
Jorge Stolfi, PQ-1A, 01/03/2016, 28/02/2021, UNICAMP, Em folha de pagamento
Jose Antonio Fernandes de Macêdo, PQ-2, 01/03/2019, 28/02/2022, UFC, Em folha de pagamento
Jose Carlos Maldonado, PQ-1A, 01/03/2019, 29/02/2024, USP, Em folha de pagamento
Jose Fernando Rodrigues Junior, PQ-2, 01/03/2018, 28/02/2021, USP, Em folha de pagamento
Jose Ferreira de Rezende, PQ-1D, 01/03/2018, 28/02/2022, UFRJ, Em folha de pagamento
Jose Marcos Silva Nogueira, PQ-1D, 01/03/2019, 28/02/2023, UFMG, Em folha de pagamento
